Animal,Title ,Author ,Illustrator,First published,Pages,Age range,Grade range / Lexile,Lexile,ISBN,Series,Titles in Series,Publisher,Subject / Genre,Awards,Goodreads rating,Amazon rating,Synopsis (using AI),Amazon
crocodile,"Alan's Big, Scary Teeth",Jarvis,Jarvis,"February 23, 2013",32,2 - 4 years, - , - ,978-1536215908,,,Candlewick,Picture Books; Animals; Storytime; Humor; Childrens; Fiction; Pre K; Juvenile; Emotion; Kids; ,,4.11,4.9,"A vain alligator who terrorizes the jungle animals loses his false teeth, learning to be kind and make friends without relying on his scary appearance.",https://www.amazon.com/Alans-Big-Scary-Teeth-Jarvis/dp/1536215902/ref=sr_1_1?crid=2ETCIUKDONL16&dib=eyJ2IjoiMSJ9.sz1KJUzCh20I29yjzyOUfCuqxSzFZXrqoYzvVRPT02wEzohe4_X7ONQI6pjUJ7m4fUZDp2erPrCQFaQLvoRifXDkAdFpW3duQWiOK8A6DqemZ4yT_vEgwzhsjk0A1Mt5ethHNy34viv01adQT7g13X5bDbYteSV8ZWnir5ycxR1B6FBuiUTNKVwp7_8yPTFh.HOLm5SWFsVh1Vt_gBry8fQvmWly3rKQV9gGbG9LVVn4&dib_tag=se&keywords=Alan%27s+Big%2C+Scary+Teeth&qid=1714268201&s=books&sprefix=alan%27s+big%2C+scary+teeth%2Cstripbooks%2C122&sr=1-1
alligator,There's an Alligator under My Bed,Mercer Mayer ,Mercer Mayer ,"March 30, 1987",32,4 - 8 years, - ,490L,978-0803703742,,,Dial Books,Picture Books; Childrens; Animals; Fiction; Humor; Storytime; Fantasy; Classics; Family; Kids; ,,4.14,4.9,"A young boy devises a clever plan to lure the alligator from under his bed to the garage, conquering his nighttime fears through imagination and problem-solving.",https://www.amazon.com/Theres-Alligator-under-My-Bed/dp/0803703740/ref=sr_1_1?crid=163AHV2HI16KU&dib=eyJ2IjoiMSJ9.lOvG4J8PpPFivq_sGx8N7w9CEZDdNvNQb_mp3K7KQBudyN8Cvl1eGN2DYoY2QxLaN5z0U-zr_HRqIYfkmRq91uWpFuSqU5YOGKZnmP4b2CdKNYPdakd_FejDONgJv4x-oMZQr5TwLyKa_OPMqAJ3Sfy4NlORw-ScSt-raBiO1GY1vUW5KyYkt_BBgx90wjV4yYrgbpoDkdH9IFvpxrHgPpa9O3optEdA8j-i3KozI58.WR9HTEShMWpHn_xl756BqSNpOBu38D0j_M42M5902jU&dib_tag=se&keywords=There%27s+an+Alligator+under+My+Bed&qid=1714268463&s=books&sprefix=there%27s+an+alligator+under+my+bed%2Cstripbooks%2C88&sr=1-1
"crocodile, alligator","Fun, Fun, Fun! (Croc and Ally)",Derek Anderson ,,"September 25, 2018",32,5 - 7 years,K to 2,260L,978-1524787110,Yes,"Croc and Ally: Fun, Fun, Fun!; Friends Forever; The Best in the World; A Lot to Like!;",Penguin Workshop,Picture Books; Childrens; Humor; Fiction; Animals; ,,3.66,4.8,"Three short stories explore the friendship between opposites Croc and Ally, using humor to teach young readers about compromise and problem-solving through everyday adventures.",https://www.amazon.com/Fun-Croc-Ally/dp/1524787116/ref=sr_1_1?crid=1T5KO6GCIR593&dib=eyJ2IjoiMSJ9.WqbK9EWBRYbvQXo6LDgWuKT9MKwj7gOtzkNgWJ2GV4iYNejID5axgbRNBjObCn5ArPVel6cHxelsaJeXQ5PPGw.qgoNd4tfwT1dAGwxfPxDuMB7ihFB0cWNScyKbiB6qM8&dib_tag=se&keywords=Fun%2C+Fun%2C+Fun%21+croc+and+ally&qid=1714269079&s=books&sprefix=fun%2C+fun%2C+fun+croc+and+ally%2Cstripbooks%2C107&sr=1-1
crocodile,I'd Really Like to Eat a Child,Sylviane Donnio,Dorothée de Monfreid,"April 2, 2004",32,2 - 6 years,PreK to 2, - ,978-0307930088,,,Dragonfly Books,Picture Books; Childrens; Animals; Humor; Storytime; Fiction; Food; Family; France; Africa; ,,4.04,4.7,"A young crocodile rejects his parents' banana offerings, insisting he wants to eat a child instead. His humorous attempts fail, teaching him to appreciate his usual diet.",https://www.amazon.com/Id-Really-Like-Eat-Child/dp/0307930084/ref=sr_1_1?crid=3IG6YL21AYJEW&dib=eyJ2IjoiMSJ9.20eQWdpxbUC8cH1sAchIOtg9CL27abgtnecVbMp_YiQIk95JvltM8yf2fIpM-TSyby3MMc1rponUDentzPYe1TEUkTIGoT2Dxz7B896QEZTkmU9lasiRA5gYC9sJ_6Jow_0GaNA78FB1bVkPyziGfYgxNyZaOXN3Juz9evyA2GU.Jei2EcXBcic7jMP0wLc_nX_Q5tMm2c-10Z3dmlpQjV8&dib_tag=se&keywords=I%27d+Really+Like+to+Eat+a+Child&qid=1714274920&s=books&sprefix=i%27d+really+like+to+eat+a+child%2Cstripbooks%2C149&sr=1-1
,,,,,,,,,,,,,,,,,,
kangaroo,Vinnie The Rescue Kangaroo,Melinda Kerr ,,"August 1, 2023",20,2 - 6 years,,,978-0645580648,,,Kanimbla Wombats,,,5,,,https://www.amazon.com/Vinnie-Rescue-Kangaroo-Melinda-Kerr/dp/0645580643
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
penguin,Lost and Found,Oliver Jeffers,Oliver Jeffers,"December 29, 2005",32,2 - 5 years,PreK to 2, - ,978-0399245039,,,Philomel Books,Picture Books;  Childrens; Animals; Fiction; Adventure; Storytime; Fantasy; Birds; Travel; Juvenile;,Nestlé Smarties Book Prize for 0–5 years (2005),4.34,4.8,"A lonely boy finds a penguin at his door and assumes it's lost, embarking on a journey to return it to the South Pole, only to discover the true meaning of friendship.",https://www.amazon.com/Lost-Found-Oliver-Jeffers/dp/0399245030/ref=sr_1_1?crid=1UGN6GBLAV6R2&dib=eyJ2IjoiMSJ9.-Ye0VybUaViV9V4dUW837q_Bzr0fDcigFjrvaem79kbRkDULDPiyGru6Wlc0-EPqqIMuiGyFf3Nm5R02Lseo48eDOg2tjzcpRuYe5JAuFRVRJVGsqTHbwJ5-0mSdp9-7Pf4iXvuUpiFNxVdAlPa6srBLcJIlp5-iAvElYooLSbcl9yT5E8JCNEV_2aumUtv9HEMmAZmr6tFSnD-Fq4K_bwG3bhkZP_H9CZwi0pmeRB8.uTd9UwS5pPK4bHkZLeBe0bNwBqxO_iDLgmzjubZj2Rk&dib_tag=se&keywords=Oliver+Jeffers+lost+and+found&qid=1725059312&s=books&sprefix=oliver+jeffers+lost+and+found%2Cstripbooks%2C82&sr=1-1#detailBullets_feature_div
penguin,Penguin Problems,Jory John ,Lane Smith,"September 27, 2016",32,2 - 7 years,PreK to 2, - ,978-0553513370,Yes,Animal Problems: Cat Problems; Penguin Problems; Giraffe Problems,Random House Studio,Picture Books; Childrens; Animals; Humor; Fiction; Storytime; Fantasy; Birds; Juvenile; Emotion;,,4.07,4.7,"A grumpy penguin complains about various aspects of penguin life, from the cold to the inability to fly, until a walrus offers a new perspective on appreciating what one has. This humorous tale explores themes of pessimism and gratitude through the eyes of a discontented Antarctic bird",https://www.amazon.com/Penguin-Problems-Jory-John/dp/0553513370/ref=sr_1_1?crid=2YUHFPV25LPWY&dib=eyJ2IjoiMSJ9.xPM3gPV7Bn-wQ4JTE8QqPf5vUd5I-nBz7fEssxnbdLC7ro6MM2CXKHchxb9iIN860lvFxzHHMBbuFOvHUsqCIxTKmXHSe5Im0I954BYUdd2e0d4eeNi2JdUiFy9G8uAkH7uX2Fv-KrMzWcZpvb1-_mDAcyf7tee2HI-ugfzGabzd3SfwrdUwiEr3HgZJRFVHPDP7yvE12DZuQH438FhK-yfUOA84D_pTCC0ezHfBoPo.o9x9ARCAVEHwcV1bST1xQyz1sCp0wn5xW-XQgvfZtkY&dib_tag=se&keywords=Penguin+Problems&qid=1725059795&s=books&sprefix=penguin+problems%2Cstripbooks%2C102&sr=1-1#detailBullets_feature_div
penguin,Little Penguins,Cynthia Rylant,Christian Robinson,"October 25, 2016",40,3 - 7 years,PreK to 2,170L,978-0553507706,,,Schwartz & Wade,Picture Books; Animals; Storytime; Childrens; Fiction; Birds; Juvenile; Christmas; Family; Kids;,,3.55,4.7,"Five excited little penguins dress up in winter gear to play in the snow, then return home for cozy indoor activities with their mother. This simple, charming story celebrates winter fun and family togetherness through minimal text and delightful illustrations.",https://www.amazon.com/Little-Penguins-Cynthia-Rylant/dp/0553507702/ref=sr_1_1?crid=1K51NSKWNSENR&dib=eyJ2IjoiMSJ9.g55DbYfh3pbHq_Ta25BFuI3kDAmnDLdmfek3qux-083pE-eIYSX9KgHFKhUSNMBOy42HJV5EW2YqDYbCBG9mpAVlvUBbgU0Evb2MzqxfoeTIzgWJcqyvWkAIEQHokXvp_lyo9VlouMhQoWDH_o2C7akVT_rTbij7DFe6syWpDhhXalGisMJLq5X-ghlVqXuRm90f27VLE01TN0yx8eVpjbOumRj1i8btbUnhK_9FiTo.wp6XyzOUQjM4gsdlOeWswYF_oddpKnhxQBpUSYzSCpU&dib_tag=se&keywords=Little+Penguins&qid=1725060175&s=books&sprefix=little+penguins%2Cstripbooks%2C158&sr=1-1
penguin,The Emperor’s Egg,Martin Jenkins,Jane Chapman,"January 1, 1999",32,2 - 5 years,PreK to 3,AD670L,978-0763618711,,,Candlewick,Picture Books; Animals; Nonfiction; Childrens; Science; Birds; Nature; Family; Geography; School;,,4.1,4.7,"A male emperor penguin braves the Antarctic winter to incubate his mate's egg, illustrating remarkable paternal dedication in nature's harshest environment.",https://www.amazon.com/Emperors-Egg-Read-Wonder/dp/0763618713/ref=sr_1_1?crid=141DVXUFRZAWS&dib=eyJ2IjoiMSJ9.FINapMhxBxL06pz0L7hl8ym7Tkenp33yzDfjqDRwJ6CPG3swfTG0tiiPVMINxPCvGJKHLbwir8fjK4FBJQkJVnpjb1qCrp3i-97k5Rhuih3oXFNDxJJX0p4mU5kh-6fJ2NW8UCusPwu2ALPpzhR76J9rrayD6Xwfmd3-nSWxhltyR3vBh7T2__LMwYON57-wGyt1jlAO2lQ4iTWAW2dfrhZ6gQ-ybfOpFUrsCuS83Ro.xYz2AzRK-nlSVyOo_ARDz394cDIa0UxYdrqd1jis0cE&dib_tag=se&keywords=the+emperors+egg&qid=1725060980&sprefix=the+emperors+egg%2Caps%2C93&sr=8-1
penguin,Penguinaut!,Marcie Colleen,Emma Yarlett,"October 30, 2018",32,2 - 7 years,PreK to K, - ,978-0545848848,,,Scholastic Inc.,Picture Books; Space; Animals; Storytime; Childrens; Adventure; Fiction; Humor; Transport; Travel;,,3.91,4.8,"Orville, a small penguin at the zoo, dreams of going to the moon while his animal friends have exciting adventures, leading him to embark on his own space mission. This tale celebrates determination and the joy of pursuing one's dreams, no matter how big they may seem.",https://www.amazon.com/Penguinaut-Marcie-Colleen/dp/0545848849/ref=sr_1_1?crid=34CWFP6GETC10&dib=eyJ2IjoiMSJ9.yIQbZLBaEhZ0uOZyJLDZlJybb2UweWwhhpAWuxPZh1g.l4qSEMHpgH-rLchxWwPi7BbJPL1CUCnB1GsXBHd52IQ&dib_tag=se&keywords=Penguinaut&qid=1725065790&sprefix=penguinaut%2Caps%2C214&sr=8-1
penguin,Harriet Gets Carried Away,Jessie Sima,Jessie Sima,"March 6, 2018",48,3 - 6 years,PreK to 3,AD520L,978-1481469111,,,Simon & Schuster Books for Young Readers,Picture Books; LGBT; Childrens; Animals; Adventure; Storytime; Fiction; Family; Queer; Fantasy;,,4.04,4.8,"A costume-loving girl accidentally joins real penguins on an adventure while wearing a penguin outfit, leading to a whimsical journey home before her birthday party.",https://www.amazon.com/Harriet-Gets-Carried-Away-Jessie/dp/1481469118/ref=sr_1_1?crid=K8I1D4I6YINC&dib=eyJ2IjoiMSJ9.gxL8DA7lBHH8OsmCfPTN5mjwGf42N-dnHZ7L0eceRqDRAalU77fB54jqYGHYwzgnSV89OlF_77FVRGyIe06DYr88NGIEsq5Idef-184u7SHfP_xwDyDnBGssOLU2W6SojMjWnuSBCG9g5cxdw_13ZuVLKveUtQ3-GDFc3XP4GZE.Jrfpo6q47xvgLRYVuHbrmYBF2IYjQTJ5VdwdOhAdHTc&dib_tag=se&keywords=Harriet+Gets+Carried+Away&qid=1725066239&sprefix=harriet+gets+carried+away%2Caps%2C91&sr=8-1
penguin,And Tango Makes Three,Justin Richardson,Peter Parnell,"June 1, 2005",32,2 - 6 years,PreK to 3,AD520L,78-0689878459,,,Simon & Schuster Books for Young Readers,Picture Books; LGBT; Childrens; Banned Books; Animals; Nonfiction; Family; Queer; Realistic Fiction; Adoption;,,4.9,4.34,"This true story follows two male penguins at the Central Park Zoo who form a couple and are given an egg to care for, resulting in the hatching of baby Tango. The book sensitively portrays same-sex families and adoption through the lens of the animal world.",https://www.amazon.com/Tango-Makes-Three-Justin-Richardson/dp/0689878451/ref=sr_1_1?crid=1MZE0Y7AMNYLX&dib=eyJ2IjoiMSJ9.9aaUY8pjtKm4EgwNZvBgs7WjGEcbt9nZa_B3v3MtgId9pyq7aMdBaMmBj-GweYt9e_gcvhzHbvjcSfNvqJCRGTw01x-3HyGyJthIN7ZjNAq5CQB04L2xcLE_3GH9dK3o94wISwbLBn-5dd4irZzHV7IjUXB4kKdAtX6jfSq9mFlQz_LPJvicaXn9j3KPTXaXuW-N6cVYeIChLAEBqDyfJ-Od6EguXmx8R4DcjDsZz3s.FjffYuXtPg_y9ZMuDhhQ7bifmSwIxLAh0406atXPxkM&dib_tag=se&keywords=And+Tango+Makes+Three&qid=1725066653&sprefix=and+tango+makes+three%2Caps%2C104&sr=8-1
penguin,"Love, Mama",Jeanette Bradley,Jeanette Bradley,"January 2, 2018",28,Baby - 3 years,PreK up, - ,978-1250240354,,,Roaring Brook Press,Picture Books; Childrens; Family; Love; Animals; Fiction; Storytime; Juvenile; Kids; Nature;,,4.03,4.7,"A young penguin copes with missing his mother while she's away, finding comfort in a heartwarming letter that reminds him of her love.",https://www.amazon.com/Love-Mama-Jeanette-Bradley/dp/1250240352/ref=sr_1_1?crid=T6BZMNGM2Z1K&dib=eyJ2IjoiMSJ9.OhokPYkF_xRPZpWRucHQIbULzVcXluUyRjnDTqJrjWm0dCnsKOaVqZlAHL9EYtgpepglXMOt-W6chZiehGSkkh9eNu-ZilU4jkNdlGx36w9BCFmZsNzlqsc0CGd5LvIxUswAF0WWsizwDfqXZYY-S6KuGQQH7tyAcJ6MIwalTKnUC6IEP5HvOUpEGA3CbktB84T4hceDo_z978YNg8Erxe-fdx77x8rdiWO4cii6K-4.Mu7MivFALrjysbYl9EZWIjWamea_1RrXr9mHYCe4Ux0&dib_tag=se&keywords=Love%2C+Mama&qid=1725066963&sprefix=love%2C+mama%2Caps%2C74&sr=8-1
penguin,Flight School,Lita Judge ,Lita Judge ,"April 15, 2014",40,2 - 6 years,PreK to 3,AD490L,978-1442481770,,,Atheneum Books for Young Readers,Picture Books; Birds; Animals; Childrens; Storytime; Fiction; Growth Mindset; Humor; School; Juvenile;,,4.01,4.8,"A determined penguin with ""the soul of an eagle"" enrolls in flight school, persevering despite initial failures until his teachers find a creative way to help him briefly soar, inspiring him to continue pursuing his dreams.",https://www.amazon.com/Flight-School-Lita-Judge/dp/1442481773/ref=sr_1_1?crid=2DUTPXN66JELP&dib=eyJ2IjoiMSJ9.jXHG5b1bKBryqs-QlF9TV7gk03Zh2-iH7-mevFUFF11Ta2QVh1yn9uDlrkqf2Ql4hUEsRI-PVwXlJA3z0CZeEc7YZ0-Wo0jbwDsjGcS1V7Mtl_1vbBqMTQBwpDmd7u-5c4SFCinmBpereM2i6F0M47DJHuGdOvoaa3oZfRFNMPmHgLUr0JZ-ERwKu2NvsPwL6Tip6e58MODLSEWEyk7nJjZ65GEyCOjzkQposBKOg-Y.uxXjv970U-BkbH_cdT6yHSAj-il6_-14rQssMKHrGmY&dib_tag=se&keywords=Flight+School&qid=1725067333&sprefix=flight+school%2Caps%2C99&sr=8-1
penguin,Penguins Don’t Wear Sweaters,Marikka Tamura,Daniel Rieley,"November 2, 2021",30,1 - 3 years, - ,AD440L,78-0593406908,,,Nancy Paulsen Books,Picture Books; Animals; Childrens; Environment; Nature; Nonfiction; Storytime; Juvenile; Science; Birds;,,3.44,4.6,"When an oil spill threatens a penguin colony, well-meaning humans knit sweaters for the birds, but this proves harmful. The story gently educates about proper wildlife rescue while celebrating the penguins' natural resilience.",https://www.amazon.com/Penguins-Dont-Sweaters-Marikka-Tamura/dp/0593406907/ref=sr_1_1?crid=AGO53PD6SF8I&dib=eyJ2IjoiMSJ9.CFLld3I_-fxxoAln6Bc6AOeSAiXnFT2IxSJGaPFnYQ-7vAcBCEo98w5bvjF31cl2L2aDarfR_l63r1yH6Dh_QPtdPW9ib_36c8YQ8GJ73-kc2V1K-uiJdkzZjPliN67BrEjB9768hjsiQ6gNqAzpn_oDpPoYBhKJ74g3n6bricfZh6wx3cqUo0ko630hYILjxoLUi2LbOaBxGrHkSIt9QxvQTM5IUFweWi84tX7Z_XY.ELOxQJ8JlQIPSNqQxxYSEWd2-wnRhiiojlAYrEveLWA&dib_tag=se&keywords=Penguins+Don%E2%80%99t+Wear+Sweaters&qid=1725067782&sprefix=penguins+don+t+wear+sweaters%2Caps%2C159&sr=8-1
penguin,365 Penguins,Jean-Luc Fromental ,Joëlle Jolivet ,"September 1, 2006",48,2 - 7 years,K to 2, - ,978-1419729171,,,Abrams Books for Young Readers,Picture Books; Mathematics; Childrens; Animals; Fiction; Humor; Counting; Number; Storytime; Kids; ,Wanda Gág Read Aloud Book Award Nominee (2007),4.12,4.6,"A family receives one penguin per day for a year, leading to humorous challenges and mathematical problems as they cope with the growing colony, ultimately learning about conservation from an ecologist uncle",https://www.amazon.com/365-Penguins-Reissue-Jean-Luc-Fromental/dp/1419729179/ref=sr_1_1?crid=16Y2XVDDWJP4O&dib=eyJ2IjoiMSJ9.c_0U9x6FOg30JH7c4-2fLWlqChuwnoqcYjeqkAqp6RNoZNQOd84hYxcc0_vhCabrOsc9jJEFiqN5m9hs3dpKjIYKPfvlao3zp2dDhOe77OybGhZutJrDAN4qt6jWZa-XHFw_CaKXaqOd1naghtAaMmGg-UxN8EGunblvjz8cBcGPvpB_lv89DjN02rgImg6vK2wZBKQp1bl3JGcwlK4aHnBFFxE8t3yMyM95iGM-o7Y.N5OuS_5ohbMD2b4aWJHS98XyDQS2IRI3DoLVjR0tZqs&dib_tag=se&keywords=365+Penguins&qid=1725068182&sprefix=365+penguins%2Caps%2C152&sr=8-1
penguin,Penguin in Peril,Helen Hancocks,Helen Hancocks,"February 1, 2013",32,3 - 7 years,PreK to 2,AD560L,978-0763671594,,,Templar,Picture Books; Animals; Cats; Childrens; Storytime; Fiction; Birds; Humor; Adventure; Juvenile;,,3.57,4.8,"Three hungry cats kidnap a zoo penguin to catch fish, but the clever bird outsmarts them and escapes, teaching children about problem-solving through humor.",https://www.amazon.com/Penguin-Peril-Helen-Hancocks/dp/0763671592/ref=sr_1_1?crid=2SNDL43UB2DQU&dib=eyJ2IjoiMSJ9.jsEq0jexxVbbJlKHDM491lZchG5jeWeCUD30wTKu7sWbbOGm5lOktDq5koExQe8jbXcz9jNWcMkdRMzApUIkNkUjAF6sxrV7WlJr1yV7VMVzUdCW-4SnwmIKd4QsWlZhC7d2rdwt6me5lnyILiNa70AKqUkLuYt1V3Ug75jBEoekLouLx7KcvERSnNQRmf_UgO3qkrLA8TKRrSfwHmRAFZcFFR29HnhLEcpyzMin7Yw.Jlgg0m1vpJ69sFc_UEgiKk0EEiFKIxobtXjnisOoj_A&dib_tag=se&keywords=Penguin+in+Peril&qid=1725068594&sprefix=penguin+in+peril%2Caps%2C100&sr=8-1
penguin,Penguin and Pinecone: A Friendship Story,Salina Yoon ,Salina Yoon ,"October 1, 2012",40,1 - 4 years,PreK up, - ,978-1547611447,Yes,Penguin on Vacation; Penguin on Holiday; Penguin in Love; Penguin and Pumpkin; Penguin's Big Adventure; Penguin's Christmas Wish; Penguin and Penelope; Penguin and Ollie; ,Bloomsbury Children's Books,,,4.33,4.9,"A curious penguin befriends a lost pinecone, but must return it to a warmer climate, learning that true friendship endures despite distance and change.",https://www.amazon.com/Penguin-Pinecone-friendship-Salina-Yoon/dp/1547611448/ref=sr_1_1?crid=1V20TOZS8X4TP&dib=eyJ2IjoiMSJ9.9zBBbNBLwT5Ho9-0fEjYS23-RTd8_s7iqZgR28i0d8Iaq8-Oi0KxhKoe5V0isVvGWEH2zA1jUzcXUzs_IQeOES-AMRJhM_qGVjyXtigPoPs.hVCXcfboTmiq3XnMBDebxhIIH82kybJm3JN78AgafUI&dib_tag=se&keywords=Penguin+and+Pinecone%3A+A+Friendship+Story&qid=1725068909&sprefix=penguin+and+pinecone+a+friendship+story%2Caps%2C137&sr=8-1
penguin,Penguin,Polly Dunbar,Polly Dunbar,"June 12, 2007",40,4 - 8 years,PreK to 3, - ,978-0763649722,,,Candlewick,Picture Books; Childrens; Animals; Storytime; Fiction; Birds; Humor; Kids; Emotion; Relationships; ,"Booktrust Teenage Prize Nominee (2007), Red House Children's Book Award for Younger Children (2008), Nestlé Smarties Book Prize for 0–5 years (Silver) (2007)",4.03,4.7,"A boy's comical attempts to make his new pet penguin speak lead to an unexpected and heartwarming resolution, exploring friendship and patience.",https://www.amazon.com/Penguin-Polly-Dunbar/dp/0763649724/ref=monarch_sidesheet_title
penguin,Blue Penguin,Petr Horacek,Petr Horacek,"October 1, 2015",32,3 - 7 years,PreK to 2, - ,978-0763692513,,,Candlewick,Picture Books; Animals; Childrens; Storytime; Birds; Juvenile; Fiction; Music; Emotion; Adventure;,,3.57,4.7,"A blue penguin, rejected by his colony for being different, finds acceptance and friendship through his beautiful singing, teaching children about individuality and the power of self-expression",https://www.amazon.com/Blue-Penguin-Petr-Horacek/dp/0763692514/ref=sr_1_1?crid=2OWBC2SJAVD9B&dib=eyJ2IjoiMSJ9.tfW6pySFwTPlg_46Zk-4Ynk6X29PLjacUkbFrU6LdHakpORzFA2owDaZzETxkGkCLp8bGpPX7EdoLdvLMQz00fUgPyXxFXKZywx-SZt4Ql3TDbPluF-Lv7Yy0Cj4BCcdvenVNLTWeXnzXAjBd2oFtCpuRNhCjYaKeYS931f20lhaFtcn2zwGuyTbKgDqw88Ies-F3wKMSw2qvPpb9Nx1eA.liyH1ml9wePYEci8Uyvi-4MyoL4XySHW2a-dcik6-X4&dib_tag=se&keywords=Blue+Penguin&qid=1725150162&s=books&sprefix=blue+penguin%2Cstripbooks%2C91&sr=1-1
penguin,Baby Penguins Love Their Mama,Melissa Guion,Melissa Guion,"January 1, 2014",32,3 - 5 years,PreK to K, - ,978-0399175527,,,Philomel Books,Picture Books; Family; Animals; Childrens; Storytime; Birds; Love; Fiction; Fantasy; Juvenile;,,3.53,4.7,"A group of baby penguins follow their mother through various activities, showcasing their love and the care she provides, while gently introducing young readers to penguin behaviors and family dynamics.",https://www.amazon.com/Baby-Penguins-Love-their-Mama/dp/0399175520/ref=sr_1_1?crid=2TX16AT7WHCC1&dib=eyJ2IjoiMSJ9.fojfXT-Xa-eOnQDBfhArkdZ7tRHXsO7FmlUBEbNMK34.8wFguLhv_zBR5NIHb3URXZfYIV9Zs7Pf-1RNec6SiuM&dib_tag=se&keywords=Baby+Penguins+Love+Their+Mama&qid=1725150619&s=books&sprefix=baby+penguins+love+their+mama%2Cstripbooks%2C84&sr=1-1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
giraffe,My Pet Giraffe,Mark Iacolina,Mark Iacolina,"Jan 10, 2013",12,1 - 3 years,PreK up, - ,978-0843171914,,,Price Stern Sloan,"Childrens, Picture Books",,3.5,4.8,"A child imagines the joys and challenges of having a giraffe as a pet, exploring everyday activities like playing hide-and-seek and dressing up for Halloween with their long-necked friend.",https://www.amazon.com/dp/084317191X/?tag=bookroo0c-20&sid=book
giraffe,Giraffes Can't Dance,Giles Andreae ,Guy Parker-Rees ,"March 1, 2012",32,1 - 3 years,PreK up,AD570L,978-0545392556,,,Cartwheel Books,Picture Books; Childrens; Animals; Fiction; Storytime; Poetry; Music; Kids; Fantasy; Growth Mindset; ,,4.33,4.8,"A clumsy giraffe named Gerald learns to dance in his own unique way, discovering self-confidence and joy through the encouragement of an unlikely friend.",https://www.amazon.com/Giraffes-Cant-Dance-Giles-Andreae/dp/0545392551/ref=sr_1_1?crid=15XZX1S84XP1P&dib=eyJ2IjoiMSJ9.rJruIfXvxMIqmwyhXUbXYoqQh7WzwwRdgMfW2muBXMnDUmAL0JtwSJsGSRY6mDBKr78MMdzKZZhhPygoeHfTT_ZAPDWZVKGJX_qa0DSgHjxWUwsYJ-xwgiDoVXXPM3sHNEEj3fgXWFUQ3hf1So_Ewi9RmU8M3HWsrjh0LzFH4N36sYCBvrxhnD47UXlc_zPWSf6AtJ9kb0mUOb8RnYt6Wo69bblT4bs3W_LuO7LvI-8.G3kQgBxTb5bb0eMyV5ayX-pSUIG8KheePxyXx2grXrA&dib_tag=se&keywords=picture+books+about+giraffe&qid=1725124644&s=books&sprefix=picture+books+about+giraffe%2Cstripbooks%2C89&sr=1-1
giraffe,Giraffe Problems,Jory John,Lane Smith,"September 25, 2018",42,2 - 7 years,PreK to 2,AD530L,978-1524772031,Yes,Animal Problems: Cat Problems; Penguin Problems; Giraffe Problems,Random House Studio,Picture Books; Animals; Childrens; Humor; Storytime; Fiction; Emotion; Kids; Juvenile; Fantasy;,,4.06,4.8,"A self-conscious giraffe named Edward dislikes his long neck until he meets a turtle who helps him appreciate his unique qualities, teaching children about self-acceptance and friendship.",https://www.amazon.com/Giraffe-Problems-Jory-John-ebook/dp/B0796D8ZGN/ref=sr_1_1?crid=1ZTFZT57R8ZVA&dib=eyJ2IjoiMSJ9.KCvyJ8J4Isti-i30u780t8OaUtwdfelQc9UdaQ3XHYo1N9EoAgfGjWiZViDE2EokI_scycZVlYq7KXOpJmjUuRIiKfAYzb2TE_ujedfjGIcMzofwANia-5WxoiffQxTMZVnyxXQC818ZG5J6dTEC0Y7BTSiygrj4SvR-lhgeA9NYRVMPIbJDlhrhz27mNB_G.43H7uK-misU_zmxKnJnD1mDZVnAOJ7rCoQRDT7iMNyk&dib_tag=se&keywords=Giraffe+Problems&qid=1725146769&s=digital-text&sprefix=giraffe+problems%2Cdigital-text%2C115&sr=1-1
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
cat,Atticus Caticus,Sarah Maizes,Kara Kramer,"May 4, 2021",40,3 - 7 years,PreK to 2, - ,978-1536208405,,,Candlewick,Picture Books; Cats; Animals; Storytime; Childrens; Humor; Fiction; Poetry; Music; Juvenile;,,3.82,4.9,"A playful exploration of a day in the life of a boy and his cat, Atticus, captures their joyful and rhythmic interactions, highlighting the bond between a child and his pet.",https://www.amazon.com/Atticus-Caticus-Sarah-Maizes/dp/153620840X/ref=sr_1_1?crid=2CC21S3VVHIOZ&dib=eyJ2IjoiMSJ9.rLVLRxXUVSmm3WoP9IusSkECotT2i-EUB1Mk3oAIUUcT42caxpSjNhFUAwIIOnhP.84Ekz2syTN8Utwmik72B0LxzMHP9sWrQnGF6Djo0EuE&dib_tag=se&keywords=Atticus+Caticus&qid=1725125914&s=books&sprefix=atticus+caticus%2Cstripbooks%2C89&sr=1-1
